"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"5691";"90а";201,13346669175;"пл. Чкалова";"90а, 90";NA;NA;"92, 90";47,27524;39,74851;427625,801000317;2206678,67194142;2;0;0;2;4;30
"2681";"90а";81,4284430230524;"Казахская";"90а, 90";NA;NA;"92, 90";47,27353;39,74765;427436,724130022;2206610,58856149;2;0;0;2;4;11
"4722";"90а";417,38821248109;"пер. Сальский";"90а, 90, 22";NA;NA;"92, 90";47,27316;39,74672;427396,705390844;2206539,56712401;3;0;0;2;5;25
"4522";"90а";398,03455279353;"пер. Обский";"90а, 90, 22";NA;NA;"92, 90";47,27479;39,74051;427585,390746255;2206072,56918296;3;0;0;2;5;24
"5952";"90а";389,075036002689;"пос. Мирный";"90а, 90, 22";NA;NA;"92, 90";47,27485;39,73464;427599,158007558;2205628,52960905;3;0;0;2;5;35
"8052";"90а";462,976088673054;"Стадион СКА";"90а, 90, 22";NA;NA;"92, 90";47,27315;39,72807;427418,144804278;2205128,37632027;3;0;0;2;5;46
"11092";"90а";215,136923108908;"ул. Фурмановская";"90а, 90, 22";NA;NA;"92, 90";47,27157;39,7224;427249,412751552;2204696,50877253;3;0;0;2;5;60
"110812";"90а";498,978224812249;"ул. Фурмановская";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 90, 18п, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,27054;39,71999;427137,855531933;2204512,29266777;14;0;1;12;27;59
"102212";"90а";155,576750919637;"ул. Нариманова";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 78, 90, 18л, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,26617;39,72146;426650,22397021;2204615,66480817;14;0;1;12;27;55
"102013";"90а";536,043804817289;"ул. Нариманова";"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90";NA;"6";"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77";47,26493;39,72051;426513,532179374;2204541,53999504;15;0;1;12;28;54
"82613";"90а";440,465422259162;"ТРЦ ""Горизонт""";"92a, 18п, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 2, 90а, 90";NA;"6";"21, 25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92";47,25983;39,7177;425949,993277756;2204319,68303993;15;0;1;12;28;47
"8959";"90а";224,309432932046;"ул. Герасименко";"65, 18л, 33, 46, 63, 77, 78, 90, 90а, 92a, 47";NA;"6";"63, 65, 25, 47, 56, 92, 83, 77, 66";47,25606;39,71593;425533,043862274;2204178,9089394;11;0;1;9;21;49
"4214";"90а";709,266161443488;"пер. Забайкальский";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25669;39,71311;425606,555958808;2203966,60267621;5;0;0;3;8;22
"5439";"90а";493,478716045482;"пл. Ленина";"92a, 46, 47, 63, 65, 77, 78, 90, 90а, 18л, 33";NA;"6";"47, 56, 63, 65, 66, 77, 83, 92, 25";47,25032;39,71291;424898,626247647;2203939,92903956;11;0;1;9;21;27
