object_name;bus;tram;trolleybus;shuttle_bus;latitude_1;longitude_1;latitude_2;longitude_2
ГПЗ-10;34, 34а, 57, 94, 96, 32;;12;34, 20, 25, 44, 56, 73, 93, 94, 96, 98, 23;47.20091;39.61368;419532,7086;2196331,942
ГСК «Авиатор»;10, 1;;;43, 10;47.27846;39.66344;428089,2394;2200248,075
ГСК «Авиатор»;10, 1;;;43, 10;47.27864;39.66358;428109,0714;2200259,006
Детская областная больница;26, 6;;;59, 55, 40, 6;47.22517;39.62254;422218,0149;2197050,282
Детская областная больница;26, 6;;;59, 55, 40, 6;47.22496;39.62299;422194,0743;2197083,955
Детский комбинат;96, 3а, 3, 28, 35, 35а, 36, 42, 42а, 54, 14, 89, 18л;;;24, 29, 30, 58, 59, 63, 79, 96, 14;47.26131;39.76879;426053,0418;2208188,999
Детский комбинат;89, 3а, 14, 18п, 28, 35, 35а, 36, 42, 3, 54, 94, 42а;;;94, 14, 24, 29, 30, 58, 59, 63, 79;47.26124;39.7692;426044,7764;2208219,908
Детский сад;;;;4;47.19256;39.61942;418596,8044;2196750,636
Детский сад;;;;52;47.2364;39.637;423447,4899;2198166,943
"ДК ""Ростсельмаш""";98, 67, 54, 3а, 3;;5, 1;79, 66, 59, 40, 29, 24, 19;47.2505;39.76392;424857,0041;2207801,631
ДК Комбайностроителей;;10, 4;;;47.25069;39.76317;424879,015;2207745,188
ДК Комбайностроителей;;10, 4;;;47.25083;39.76323;424894,5083;2207749,973
Днепродзержинский;68;;;;47.23052;39.82084;422569,9592;2212077,29
Дом №111;94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5;;;94, 66, 63, 58, 14;47.24923;39.71938;424769,4897;2204427,735
Дом №111;96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5;;;96, 66, 63, 58, 14;47.24949;39.71956;424798,174;2204441,83
Дом №117;34а;;;;47.20612;39.64552;420070,0778;2198754,349
Дом №129/2;34а;;;;47.20453;39.63766;419903,5504;2198155,817
Дом №30;34а;;;44;47.2082;39.64676;420299,7073;2198852,253
Дом №72;34а;;;44;47.20453;39.63728;419904,0468;2198127,026
Дом Ветеранов;;;;30;47.28985;39.71081;429295,9249;2203852,686
Дом Ветеранов;;;;30;47.28964;39.70979;429273,8384;2203775,15
Дом детского творчества;65, 63;;;65, 63, 38, 29, 11;47.29879;39.71272;430287,4673;2204013,366
Дом детского творчества;65, 63;;;65, 63, 29, 11;47.29874;39.71228;430282,4512;2203979,998
Дом обуви;;;;99, 90, 78, 58, 45, 44, 43, 38, 11, 6;47.21861;39.7085;421378,7678;2203548,492
Домики;80, 70, 68, 54;;22;80, 66, 55, 53;47.23412;39.78965;423005,8483;2209721,487
Домики;80, 70, 68, 54;;22;80, 66, 55, 53;47.23395;39.7912;422985,1542;2209838,567
Домики;96, 22;;;96, 30, 29, 19;47.27371;39.75741;427445,0773;2207349,4
Домики;94, 90;;;94, 30, 29, 19;47.27418;39.75594;427499,0791;2207238,994
Дом-интернат;80, 70, 68, 54;;22;88, 80, 67, 66, 63, 55, 53, 14;47.23815;39.82627;423412,1018;2212501,069
Донагроснаб;;;;48, 40, 16;47.23786;39.59571;423664,5856;2195043,425
Донагроснаб;;;;48, 40, 16;47.23774;39.59563;423651,3526;2195037,13
Еременко, 97/29;71, 67;;;;47.23245;39.59971;423057,7604;2195335,622
"ЖК ""Европейский""";41;;;;47.20244;39.64987;419655,3232;2199076,922
"ЖК ""Красные ворота""";;;;24;47.24299;39.77766;424005,9194;2208828,823
"ЖК ""Платовский""";35а;;;92, 90;47.31824;39.79068;432356,6415;2209942,545
ЖК 50-летия Победы;99, 96, 94, 49, 10;;;99, 96, 94, 49, 10;47.26038;39.6511;426095,0986;2199280,107
ЖК 50-летия Победы;99, 96, 94, 49, 10;;;99, 96, 94, 49, 10;47.25905;39.64841;425950,7194;2199073,986
ЖК Акварель;37;;;20, 12;47.22485;39.66732;422124,2662;2200441,064
ЖК Александровский;;;;88, 67, 63, 14;47.23905;39.79895;423543,2015;2210434,022
ЖСК;99, 96, 94, 49, 10;;;99, 96, 94, 49, 10;47.25753;39.64205;425789,9952;2198589,716
ЖСК;99, 96, 94, 49, 10;;;99, 96, 94, 49, 10;47.25724;39.6437;425755,6083;2198714,048
з/д Спецавтоматика;64, 32;;;;47.21004;39.59774;420569,0282;2195142,207
з/д Спецавтоматика;64, 32;;;;47.21009;39.59771;420574,6272;2195140,033
"Завод ""Алмаз""";69;;;;47.28147;39.80345;428254,0433;2210846,092
"Завод ""Алмаз""";69a, 42а, 42, 35а, 35, 3а;;;95, 93, 59, 58, 24;47.28152;39.8046;428258,2858;2210933,179
"Завод ""Копнитель""";90, 89, 54, 28, 18л;;;79;47.275;39.76387;427580,8265;2207840,441
"Завод ""Копнитель""";89, 54, 22, 18п;;;79;47.27522;39.76417;427604,9298;2207863,523
"Завод ""Решета""";90, 18л;;;79;47.27947;39.76837;428072,4598;2208188,672
"Завод ""Решета""";54, 22;;;;47.27951;39.76875;428076,4588;2208217,491
"Завод ""Рубин""";;;5;98, 88, 80, 67, 59, 55, 52, 40, 29;47.2335;39.73809;422997,9476;2205816,17
"Завод ""Рубин""";;;5;98, 88, 80, 67, 59, 55, 52, 40, 29;47.23327;39.7378;422972,7283;2205793,802
"завод ""Эмпилс""";;;;71;47.25405;39.59708;425462,6343;2195179,145
"завод ""Юг Авто Ремонт""";36, 28;;;92, 90, 44;47.28831;39.78329;429037,758;2209332,606
"завод ""Юг Авто Ремонт""";36, 28;;;92, 90, 44;47.28855;39.78361;429064,0673;2209357,223
Заводская;7;;9;95, 93;47.26256;39.81017;426144,0639;2211322,857
Заводская;7;;9;95, 93;47.26284;39.80966;426175,7735;2211284,728
Западный переезд;37, 15;;;;47.24587;39.6223;424519,6136;2197072,254
Зоопарк;6;;;56, 6;47.24707;39.67315;424587,1045;2200924,085
Зоопарк;6;;;56, 6;47.24733;39.67187;424617,6381;2200827,671
ЗФК;;;;93, 25, 23, 12;47.2238;39.66262;422013,5489;2200083,134
"Издательство ""Молот""";96, 94;;;96, 94, 71, 10;47.23847;39.61411;423707,7839;2196437,792
"Издательство ""Молот""";96, 94;;;96, 94, 71, 10;47.23893;39.61336;423759,9205;2196381,903
"Издательство ""Молот""";;;;52, 40, 16;47.23783;39.61128;423640,398;2196222,266
Изумруд;;;;48, 40, 16;47.23817;39.57406;423728,4355;2193404,794
Институт сервиса;65, 63;;;65, 63, 38, 29, 11;47.30293;39.73604;430719,2397;2205784,413
Институт сервиса;65, 63;;;65, 63, 38, 29, 11;47.30286;39.73632;430711,1186;2205805,463
Испытатель;39;;;;47.20512;39.71152;419875,3129;2203752,798
Испытатель;39, 31;;;;47.20508;39.71175;419870,5821;2203770,151
Казахская;90а, 90;;;92, 90;47.27353;39.74765;427436,7241;2206610,589
Казачий хутор;39;;;;47.2014;39.78922;419368,7578;2209633,265
Калинина;80, 70, 68, 54;;22;88, 80, 67, 66, 63, 55, 53, 14;47.23737;39.81595;423337,0277;2211718,38
Каменские сады;27, 18п, 18л, 10, 1;;;43, 10;47.29736;39.67764;430172,3401;2201357,621
Каменские сады;27, 18п, 18л, 10, 1;;;43, 10;47.2974;39.67756;430176,8885;2201351,645
Каратаево;32;;;;47.23052;39.54198;422922,344;2190960,126
Каратаево-переезд;32;;;;47.23032;39.54999;422888,9346;2191566,286
Каратаево-переезд;32;;;;47.23129;39.55173;422994,3528;2191700,03
Карьер;64, 32;;;;47.21066;39.59431;420642,5741;2194883,591
Карьер;64, 32;;;;47.21073;39.59426;420650,4236;2194879,942
"Кафе ""Зелёный попугай""";39;;;;47.20325;39.77012;419596,7436;2208189,284
"Кафе ""Калифорния""";39;;;;47.20547;39.76458;419850,0865;2207773,395
"Кафе ""Наири""";39;;;;47.21094;39.73011;420499,5572;2205171,622
"Кафе ""Полет""";10, 1;;;43, 10;47.26437;39.66643;426518,9743;2200447,836
"Кафе ""Тайфун""";57;;;;47.16841;39.55108;416004,7535;2191522,541
"Кафе ""Тайфун""";57;;;;47.16839;39.55141;416002,0713;2191547,519
"Кафе ""У Бориса""";39;;;;47.20333;39.77033;419605,3902;2208205,333
"Кафе ""Фрегат""";39;;;;47.20132;39.7895;419359,5395;2209654,344
Каяни;;10, 4;;;47.23468;39.74617;423119,3982;2206430,09
Каяни;;10, 4;;;47.2345;39.74506;423100,7205;2206345,722
к-з Путь к коммунизму;57;;;;47.18282;39.59545;417546,003;2194914,924
к-з Путь к коммунизму;57;;;;47.18187;39.59635;417439,1775;2194981,263
Кирпичный завод;70;;;14;47.2492;39.84237;424622,6184;2213738,069
Кирпичный завод;70;;;14;47.24899;39.84164;424600,0805;2213682,466
Комсомольский парк;99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а;;;99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6;47.23868;39.69916;423621,6129;2202877,769
Консерватория;61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58;;;12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38;47.21968;39.70771;421498,7008;2203490,599
Котельная;96, 83, 18п, 18л;;;96, 78, 44, 23, 11;47.28257;39.68951;428513,1007;2202228,073
Котельная;94, 78, 18п, 18л;;;94, 78, 44, 23, 11;47.28273;39.6889;428531,6547;2202182,221
КПС;;;;56, 40, 16;47.22374;39.61359;422070,898;2196369,669
КПС;;;;56, 40, 16;47.22231;39.61381;421911,6285;2196383,541
Красный Аксай;;;2;;47.22604;39.77482;422124,8555;2208584,618
Красный моряк;31;;;73;47.20325;39.70286;419678,1472;2203093,28
Красный моряк;31;;;73;47.20273;39.70227;419621,0709;2203047,629
Левенцовка;64, 32;;;;47.20975;39.58946;420547,9577;2194514,373
Левенцовка;64, 32;;;;47.20971;39.58927;420543,7679;2194499,9
Левенцовский;;;;48, 40, 16;47.23748;39.60286;423612,7349;2195584,047
