field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descriptio_2,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop
2393,96,"438,890362547393",ЖСК,"99, 96, 94, 49, 10",NA,NA,"99, 96, 94, 49, 10",47.25753,39.64205,425789.99523,2198589.71624,5,0,0,5,10,27,Болгарстрой,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
1581,96,"582,739565536756",Военная часть,"96, 94",NA,NA,"96, 94, 10",47.25781,39.63518,425830.08989,2198070.27668,2,0,0,3,5,15,Стройгородок,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
5051,96,"332,335224702316",Переезд,"96, 94",NA,NA,"96, 94, 10",47.25922,39.62618,425998.65975,2197391.81497,2,0,0,3,5,52,Стройгородок,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
6032,96,"559,826136201816",Пост ГИБДД,"96, 94",NA,NA,"96, 94, 10",47.25993,39.62180,426083.37143,2197061.68964,2,0,0,3,5,66,Стройгородок,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
3581,96,"422,741794132367",Нефтекачка,"96, 94",NA,NA,"96, 94, 10",47.25553,39.61553,425602.51280,2196578.56702,2,0,0,3,5,37,Стройгородок,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
7151,96,"710,363461975009",Ростов-Товарная,"96, 94",NA,NA,"96, 94, 71, 10",47.25127,39.61400,425130.94666,2196454.44454,2,0,0,4,6,71,Стройгородок,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
11521,96,"616,154431533457",Хлебозавод,"96, 94",NA,NA,"96, 94, 71, 10",47.24445,39.61396,424372.79843,2196438.10517,2,0,0,4,6,108,Змеевская балка,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9893,96,"406,13246139361",ул. Малиновского,"96, 94, 71, 67",NA,NA,"96, 94, 73, 71, 67, 56, 48, 10",47.23227,39.61493,423017.42187,2196487.78792,4,0,0,8,12,95,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
11223,96,"370,626435743732",ул. Шишкина,"96, 94, 71, 67",NA,NA,"96, 94, 73, 71, 67, 56, 48, 10",47.23231,39.62086,423014.00971,2196936.90962,4,0,0,8,12,100,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9424,96,"242,853656968852",ул. Карпатская,"96, 94, 71, 67",NA,NA,"48, 10, 96, 94, 73, 71, 67, 56",47.23233,39.62634,423009.00082,2197351.91624,4,0,0,8,12,90,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9334,96,"52,5930379750483",ул. Зорге,"96, 94, 71, 67",NA,NA,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.23131,39.62918,422891.86770,2197565.00435,4,0,0,10,14,87,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
9234,96,"387,484718893948",ул. Ерёменко,"96, 94, 71, 67",NA,NA,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.23141,39.62986,422902.09145,2197616.69057,4,0,0,10,14,85,339-Еременко,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932
