"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"2056";"63";447,6589;"Детский комбинат";"96, 3а, 3, 28, 35, 35а, 36, 42, 42а, 54, 14, 89, 18л";NA;NA;"24, 29, 30, 58, 59, 63, 79, 96, 14";47,26131;39,76879;426053;2208189;13;0;0;9;22;8
"1796";"63";315,2117;"Главная проходная РСМ";"89, 3а, 14, 18л, 28, 35, 35а, 36, 42, 3, 54, 96, 42а";NA;NA;"96, 14, 24, 29, 30, 58, 59, 63, 79";47,25797;39,76549;425685,6;2207933;13;0;0;9;22;7
"1602";"63";176,3969;"Вокзал ""Сельмаш""";"96, 42а, 42, 35а, 35, 18л";NA;NA;"96, 66, 63, 58, 14";47,25532;39,76402;425392,7;2207818;6;0;0;5;11;6
"7802";"63";752,9657;"Сельмаш";"63, 58, 42а, 42, 35а, 35, 17, 5";NA;NA;"63, 19, 14";47,25378;39,76347;425222,2;2207773;8;0;0;3;11;55
"5582";"63";255,4697;"пл. Страны Советов";"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5";NA;NA;"94, 66, 63, 58, 14";47,24929;39,75523;424732,8;2207142;10;0;0;5;15;36
"3962";"63";192,958;"пер. Богучаровский";"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5";NA;NA;"96, 66, 63, 58, 14";47,24924;39,75185;424731,3;2206886;10;0;0;5;15;27
"5772";"63";191,9076;"Поликлиника";"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5";NA;NA;"94, 66, 63, 58, 14";47,24896;39,74933;424703,2;2206694;10;0;0;5;15;37
"5782";"63";287,092;"Поликлиника";"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5";NA;NA;"96, 66, 63, 58, 14";47,24911;39,7468;424722,9;2206503;10;0;0;5;15;38
"8222";"63";258,0233;"Торговое училище";"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5";NA;NA;"96, 66, 63, 58, 14";47,24905;39,74237;424721,5;2206168;10;0;0;5;15;57
"3282";"63";240,3897;"Магазин";"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5";NA;NA;"96, 66, 63, 58, 14";47,24905;39,73824;424726,5;2205855;10;0;0;5;15;22
"11902";"63";407,4166;"Школа";"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5";NA;NA;"94, 66, 63, 58, 14";47,24901;39,73439;424726,7;2205564;10;0;0;5;15;87
"1322";"63";332,7119;"Больница";"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5";NA;NA;"94, 66, 63, 58, 14";47,249;39,72889;424732,3;2205147;10;0;0;5;15;2
"3892";"63";332,7989;"пер. Автосборочный";"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5";NA;NA;"96, 66, 63, 58, 14";47,24936;39,72396;424778,3;2204775;10;0;0;5;15;26
"2132";"63";410,7029;"Дом №111";"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5";NA;NA;"94, 66, 63, 58, 14";47,24923;39,71938;424769,5;2204428;10;0;0;5;15;10
"5433";"63";506,602;"пл. Ленина";"92a, 46, 47, 63, 65, 77, 78, 90, 90а, 18л, 33";NA;"6";"47, 56, 63, 65, 66, 77, 83, 92, 25";47,25032;39,71291;424898,6;2203940;11;0;1;9;21;34
"8943";"63";173,8865;"ул. Герасименко";"92a, 22, 33, 45, 46, 63, 65, 77, 18п, 83";NA;"6";"45, 56, 63, 65, 66, 77, 83, 92, 25";47,25467;39,71488;425379,8;2204097;10;0;1;9;20;61
"8953";"63";440,4654;"ул. Герасименко";"65, 18л, 33, 46, 63, 77, 78, 90, 90а, 92a, 47";NA;"6";"63, 65, 25, 47, 56, 92, 83, 77, 66";47,25606;39,71593;425533;2204179;11;0;1;9;21;62
"8275";"63";536,0438;"ТРЦ ""Горизонт""";"45, 2, 18л, 21, 33, 46, 47, 63, 65, 78, 90, 90а, 92a, 77, 22";NA;"6";"25, 63, 65, 66, 77, 83, 90, 92, 45, 21, 56, 47";47,26037;39,71823;426009,4;2204361;15;0;1;12;28;59
"10205";"63";155,5768;"ул. Нариманова";"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90";NA;"6";"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77";47,26493;39,72051;426513,5;2204542;15;0;1;12;28;71
"10225";"63";498,9782;"ул. Нариманова";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 78, 90, 18л, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,26617;39,72146;426650,2;2204616;14;0;1;12;27;72
"11075";"63";318,1868;"ул. Фурмановская";"92a, 21, 33, 45, 46, 47, 63, 65, 77, 18л, 78";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 21";47,27162;39,72067;427257,1;2204566;11;0;1;10;22;81
"9206";"63";766,1156;"ул. Евдокимова";"92a, 21, 33, 45, 47, 63, 65, 77, 83, 18п";NA;"6";"25, 38, 45, 47, 56, 63, 65, 66, 77, 83, 21";47,27409;39,71819;427534,7;2204382;10;0;1;11;22;70
"7776";"63";424,4082;"Северный рынок";"92a, 21, 33, 45, 47, 63, 65, 77, 83, 18п";NA;"6";"25, 38, 45, 47, 56, 63, 65, 66, 77, 83, 21";47,28131;39,71649;428339,5;2204267;10;0;1;11;22;54
