Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
пл. 5-го Донского корпуса,"26, 4, 16, 34, 34а, 41, 57, 64, 71, 15",,"12, 8","8, 16, 4, 71, 48, 44, 34",47.21587,39.70152,"421082,814616359","2203014,79640408"
пл. 5-го Донского корпуса,"71, 15, 16, 26, 34, 34а, 41, 57, 4, 64",,"12, 8","8, 16, 34, 44, 48, 71, 4",47.21566,39.70027,"421061,024294283","2202919,72795257"
пл. Борко,"45, 47, 77, 96, 21",,,"38, 11, 19, 30, 96, 44, 45, 47, 66, 77, 95, 21",47.28259,39.71006,"428489,726126821","2203782,77070463"
пл. Борко,46,,,38,47.28132,39.70721,"428352,060534821","2203564,84951989"
пл. Борко,46,,,,47.28139,39.70705,"428360,040890387","2203552,87222445"
пл. Гагарина,,,,93,47.23611,39.71228,"423319,628102226","2203866,49691702"
пл. Гагарина,,,,"93, 25",47.23618,39.71214,"423327,582960765","2203856,0230826"
пл. Добровольского,"45, 46, 47, 77, 96, 21",,,"38, 11, 21, 96, 44, 45, 47, 66, 77, 95, 19",47.29356,39.7027,"429718,428818668","2203246,00468472"
пл. Добровольского,"45, 46, 47, 77, 94, 21",,,"38, 11, 21, 95, 44, 45, 47, 66, 77, 94, 19",47.29345,39.70294,"429705,901397335","2203263,95665023"
пл. Добровольского,"78, 18п, 18л",,,"79, 78, 38, 23",47.29519,39.70417,"429897,817250761","2203360,16510883"
пл. Добровольского,"83, 18п, 18л",,,"79, 78, 38, 23",47.29501,39.7039,"429878,141056135","2203339,41525919"
пл. Дорожных строителей,6,,,"93, 56, 55, 52, 48, 25, 23, 20, 6",47.23359,39.6392,"423132,221072091","2198328,14118786"
пл. Дружинников,4,,12,8,47.21035,39.67375,"420504,066200471","2200900,98625639"
пл. Дружинников,4,,8,4,47.21093,39.67413,"420568,063422437","2200930,85499889"
пл. Дружинников,"98, 16, 26, 34, 34а, 41, 57, 64, 67, 15, 71",,8,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21108,39.67288,"420586,328584814","2200836,44168231"
пл. Дружинников,"98, 16, 26, 34, 34а, 41, 57, 64, 67, 15, 71",,12,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21094,39.67126,"420572,826323943","2200713,4578217"
пл. К. Маркса,"80, 70, 54",,"22, 2","98, 80, 66, 24",47.22997,39.7625,"422576,29188989","2207658,41972541"
пл. К. Маркса,"98, 67, 7, 3а, 3",,"9, 1","95, 79, 19",47.23136,39.76198,"422731,439231257","2207621,46038836"
пл. К. Маркса,"98, 67, 54, 7",,"1, 9","95, 79, 66, 24, 19",47.23153,39.76161,"422750,777395801","2207593,73781419"
пл. К. Маркса,"3а, 3",,,,47.23241,39.76121,"422849,084414662","2207564,98011586"
пл. Комсомольская,"78, 6, 21, 27, 35, 35а, 47, 51, 2, 61, 90, 90а, 99, 58",,,"58, 6, 11, 21, 23, 38, 43, 44, 99, 90, 78, 47",47.23698,39.69988,"423431,721097471","2202929,17436017"
пл. Комсомольская,51,,,"99, 90, 78, 58, 45, 44, 43, 38, 23, 21, 11, 6",47.23842,39.70028,"423591,312496513","2202962,09441254"
пл. Комсомольская,"83, 49, 45, 42а, 42, 27, 22, 21, 6, 5, 2",,,,47.23855,39.69936,"423606,911133935","2202892,6739839"
пл. Комсомольская,61,,,,47.23804,39.69811,"423551,771250035","2202797,09567162"
пл. Королева,"92a, 65, 63, 18л",,6,"83, 65, 63, 56, 44, 25, 11",47.29391,39.71387,"429743,518543878","2204091,50313387"
пл. Королева,"92a, 83, 65, 63, 33, 18п",,6,"95, 83, 65, 63, 56, 44, 25, 11",47.29425,39.71337,"429781,933939734","2204054,30081026"
пл. Ленина,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24939,39.71395,"424793,952978856","2204016,97290046"
пл. Ленина,"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65",,6,"25, 45, 49, 65, 77, 83, 92",47.24868,39.71271,"424716,548171288","2203921,81909029"
пл. Ленина,"92a, 46, 47, 63, 65, 77, 78, 90, 90а, 18л, 33",,6,"47, 56, 63, 65, 66, 77, 83, 92, 25",47.25032,39.71291,"424898,626247647","2203939,92903956"
пл. Ленина,"99, 96, 58, 35а, 35, 17, 1",,,"96, 58, 56, 49, 14",47.24969,39.7118,"424829,956125058","2203854,76174867"
пл. Мичурина,,7,,,47.2144,39.64672,"420989,029773821","2198861,02762562"
пл. Мичурина,,,,55,47.21448,39.64644,"420998,286898961","2198839,97008211"
пл. Мичурина,,7,,,47.215,39.64811,"421053,930980759","2198967,46091942"
пл. Плевен,"96, 94",,,"96, 94, 93, 73, 20, 10",47.20851,39.63513,"420349,324930383","2197971,77747633"
пл. Плевен,"98, 57, 34",,12,"98, 44, 34",47.20807,39.63591,"420299,388536952","2198030,02423766"
пл. Плевен,"98, 96, 94, 57, 34",,8,"98, 96, 94, 93, 73, 34, 20, 10",47.20828,39.63465,"420324,383508124","2197934,97177492"
пл. Свободы,,1,,,47.22923,39.76424,"422491,963234358","2207788,90052711"
пл. Свободы,"80, 70, 68, 54",,"22, 2","80, 66",47.22932,39.76402,"422502,229180694","2207772,39655987"
пл. Свободы,,1,,,47.22909,39.76369,"422477,049902139","2207747,00639266"
пл. Советов,"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1",,6,,47.22181,39.7191,"421721,459709701","2204357,13961722"
пл. Стачки 1902 года,"4, 98, 15, 16, 26, 34, 41, 57, 64, 67, 71, 34а",,"12, 8","4, 34, 40, 44, 48, 52, 55, 59, 8, 71, 16, 98, 67",47.21383,39.69583,"420863,117046191","2202580,05046731"
пл. Стачки 1902 года,"15, 16, 26, 34, 34а, 41, 57, 64, 67, 71, 98, 4",,"12, 8","16, 8, 34, 40, 44, 48, 52, 55, 59, 67, 71, 98, 4",47.21394,39.69547,"420875,796024439","2202552,98206757"
пл. Страны Советов,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24947,39.75579,"424752,149099327","2207184,40051202"
пл. Страны Советов,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24929,39.75523,"424732,805163709","2207141,69346524"
пл. Театральная,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1","98, 80, 55",47.22774,39.74766,"422346,066906287","2206530,69409318"
пл. Театральная,"80, 70, 67, 7, 3а, 3, 98",,"22, 9, 2, 1","98, 80",47.22764,39.74384,"422339,538220136","2206241,2255552"
пл. Толстого,,1,,,47.23128,39.76579,"422718,035836277","2207909,83670822"
пл. Толстого,,1,,,47.23151,39.76574,"422743,664814656","2207906,44946691"
пл. Тружеников,"98, 57, 41, 34а, 34",,,"98, 44, 34",47.21144,39.64528,"420661,827852408","2198746,30607613"
пл. Тружеников,"71, 67, 64, 26, 16",,8,"71, 67, 59, 52, 40, 16",47.21234,39.6443,"420763,156543434","2198673,78400333"
пл. Тружеников,"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16",,12,"34, 40, 44, 52, 55, 59, 67, 71, 98, 16",47.21202,39.64815,"420722,584455088","2198964,82282915"
пл. Чкалова,94,,,"94, 30, 29, 19",47.27575,39.74984,"427680,906852824","2206780,20100925"
пл. Чкалова,96,,,"96, 30, 29, 19",47.27555,39.74936,"427659,246727236","2206743,53111341"
пл. Чкалова,"90а, 90, 22",,,"92, 90",47.27566,39.74869,"427672,278470173","2206693,0307506"
пл. Чкалова,"90а, 90",,,"92, 90",47.27524,39.74851,"427625,801000317","2206678,67194142"
пл. Энергетиков,,,5,"93, 88, 67, 59, 52, 40, 29",47.23617,39.7398,"423292,715299143","2205950,38736381"
пл. Энергетиков,,,5,"93, 88, 67, 59, 52, 40, 29",47.23619,39.73851,"423296,496558684","2205852,74553492"
Пожарная часть,,,,19,47.26684,39.75687,"426681,953640429","2207296,52634558"
Пожарная часть,,,,19,47.26701,39.75737,"426700,25820504","2207334,66107847"
Покровский Храм,77,,,,47.29976,39.6964,"430415,558978156","2202780,87384493"
Поликлиника,,,,8,47.20778,39.68809,"420200,223512006","2201982,57853677"
Поликлиника,,,,4,47.20782,39.68798,"420204,80872528","2201974,31883137"
Поликлиника,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24896,39.74933,"424703,167206291","2206694,48201003"
Поликлиника,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24911,39.7468,"424722,876478679","2206503,22378302"
Поликлиника,6,,,"56, 6",47.24654,39.67633,"424524,14377833","2201163,8332681"
Поликлиника,6,,,"56, 6",47.24642,39.67679,"424510,21954378","2201198,43360477"
Поликлиника,"45, 22, 21, 2",,,"90, 45, 38, 21",47.2547,39.70738,"425392,400198801","2203529,28207168"
Поликлиника,"90а, 90, 47, 21, 2",,,"90, 47, 21",47.25451,39.70648,"425372,392127976","2203460,81312102"
Поликлиника №16,"92a, 78, 65, 63, 33, 18л",,6,"95, 83, 65, 63, 56, 44, 25, 11",47.2851,39.71588,"428761,598286398","2204227,60594833"
Поликлиника №16,"92a, 83, 65, 63, 33, 18п",,6,"95, 83, 65, 63, 56, 44, 25, 11",47.28503,39.71554,"428754,234350169","2204201,75870926"
Поликлиника №4,"92a, 90а, 69a, 22",,,,47.28886,39.75735,"429129,439847774","2207371,34773393"
Поликлиника №4,"92a, 90а, 69, 22",,,,47.28817,39.75718,"429052,931737584","2207357,28159881"
Поликлиника больницы №20,"98, 96, 94, 57, 34",,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20772,39.62219,"420278,513992451","2196989,93724076"
пос. Автосборочный,2,,,,47.26436,39.74022,"426426,195116865","2206032,13973213"
пос. Геофизиков,70,,,14,47.24299,39.83932,"423935,610309085","2213497,05659631"
пос. Геофизиков,70,,,14,47.24246,39.83838,"423877,732314968","2213425,02496686"
пос. Камышеваха,"90а, 36",,,,47.31241,39.79008,"431709,185412446","2209887,25706493"
пос. Кирпичный,70,,,14,47.25109,39.83612,"424839,677319792","2213268,03134103"
пос. Кирпичный,70,,,14,47.25072,39.83914,"424795,184800374","2213496,03521348"
пос. Кирпичный,70,,,14,47.25064,39.83902,"424786,424145808","2213486,82092729"
пос. Мирный,"90а, 90, 22",,,"92, 90",47.27485,39.73464,"427599,158007558","2205628,52960905"
пос. Мирный,"90а, 90, 22",,,"92, 90",47.27479,39.73524,"427591,760626486","2205673,82104036"
пос. Мясникован,"92a, 83, 78, 33, 18п",,,"95, 83, 79, 78, 56, 44, 29, 25, 23",47.29582,39.72776,"429938,84379946","2205145,51455113"
пос. Мясникован,"92a, 83, 78, 33, 18л",,,"95, 83, 79, 78, 56, 44, 29, 25, 23",47.29567,39.72772,"429922,216362566","2205142,22054063"
пос. Пилотов,7,,9,"95, 93",47.26507,39.81428,"426418,439752096","2211638,09080697"
пос. Пилотов,7,,9,"95, 93",47.26549,39.81405,"426465,393902542","2211621,38508821"
пос. Фрунзе,14,,,63,47.2461,39.79735,"424328,816879175","2210324,79449807"
Пост ГИБДД,"96, 94",,,"96, 94, 10",47.26015,39.622,"426107,565328664","2197077,25355131"
Пост ГИБДД,"96, 94",,,"96, 94, 10",47.25993,39.6218,"426083,371428005","2197061,68964468"
Почта,"37, 15",,,"93, 48, 25, 23, 20",47.23326,39.64082,"423093,421748271","2198450,17998197"
Почта,"37, 15",,,"93, 48, 25, 23, 20",47.23329,39.64102,"423096,496348921","2198465,38191912"
Почта,68,,,,47.22968,39.81465,"422483,576303217","2211607,14079126"
пр. 20-летия Октября,"42а, 42, 36, 35а, 35, 28, 3а",,,"59, 58, 24",47.26697,39.78622,"426661,889110195","2209517,81519613"
пр. 20-летия Октября,"42а, 42, 36, 35а, 35, 3а",,,"59, 58, 24",47.26706,39.78612,"426672,010970577","2209510,40131832"
пр. 40 лет Победы,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23893,39.83049,"423494,086844837","2212821,87266483"
пр. 40 лет Победы,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23929,39.83031,"423534,310827324","2212808,83550011"
"пр. 40 лет Победы, 99","80, 54",,,"88, 80, 67, 66, 63, 55, 53",47.24243,39.83417,"423879,084112799","2213106,23637462"
"пр. 40 лет Победы, 99","80, 54",,,"88, 80, 67, 66, 63, 55, 53",47.24174,39.8349,"423801,560214094","2213160,3754123"
пр. Буденновский,,7,,,47.22468,39.70521,"422057,664570668","2203310,34782941"
пр. Буденновский,,"1, 10, 6, 4",,,47.22495,39.70605,"422086,63957024","2203374,4567149"
пр. Буденновский,,"10, 6, 4, 1",,,47.22488,39.70605,"422078,857451888","2203374,32932348"
пр. Буденновский,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1",,47.22023,39.70869,"421558,633023869","2203565,82474383"
пр. Буденновский,"98, 80, 70, 67, 33, 7, 3а, 3",,"22, 9, 2, 1",,47.21984,39.70622,"421518,334420981","2203378,03367013"
пр. Буденновский,"60, 9",,,"93, 25, 23, 12",47.23075,39.70219,"422736,236611067","2203092,70826163"
пр. Будённовский,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.22636,39.70555,"422244,013687146","2203339,15639877"
пр. Будённовский,21,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29, 21",47.22612,39.70374,"422219,578561276","2203201,64255848"
"пр. Буденновский, 103 по требованию",61,,,,47.24067,39.70185,"423839,498642614","2203085,07699812"
"пр. Буденновский, 108",51,,,,47.24177,39.70181,"423961,839142856","2203084,05754941"
пр. Ворошиловский,,"10, 6, 4, 1",,,47.22704,39.71609,"422306,593227698","2204138,60751251"
пр. Ворошиловский,,,"22, 9, 2, 1",,47.22262,39.71982,"421810,626669663","2204413,13002973"
пр. Ворошиловский,"98, 80, 70, 67, 33, 7, 3а, 3",,"22, 9, 2, 1",,47.22225,39.7174,"421772,463353477","2204229,17646834"
пр. Ворошиловский,,,5,"29, 98, 88, 80, 67, 59, 55, 52, 40",47.22863,39.7155,"422484,084496724","2204096,79808127"
пр. Ворошиловский,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.22898,39.71787,"422520,081389595","2204276,90818959"
пр. Ворошиловский,"98, 80, 70, 67, 7, 3а, 3",,,,47.22218,39.71774,"421764,263516324","2204254,80138314"
пр. Ворошиловский/ул. МаксимаГорького,,"4, 1, 10, 6",,,47.22736,39.71731,"422340,668763936","2204231,57756164"
пр. Кировский,,"10, 6, 4, 1",,,47.22991,39.72914,"422609,691537545","2205132,03664893"
пр. Кировский,,"10, 6, 4, 1",,,47.22986,39.72914,"422604,132873181","2205131,94729286"
пр. Кировский,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1",,47.22515,39.73194,"422077,102132302","2205335,58695651"
пр. Кировский,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.23147,39.72858,"422783,803743909","2205092,41830448"
пр. Кировский,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.23132,39.72863,"422767,066854583","2205095,93639656"
пр. Королева,"92a, 78, 18п",,,"95, 79, 78, 56, 44, 38, 29, 25, 23",47.29567,39.71509,"429937,683322961","2204186,96355201"
пр. Королева,"92a, 83, 78, 33, 18л",,,"95, 83, 79, 78, 56, 44, 29, 25, 23",47.29539,39.71482,"429906,886812546","2204166,03573599"
"пр. Королева, 15","78, 18п, 18л",,,"79, 78, 38, 23",47.29507,39.70971,"429877,614138171","2203778,9628794"
"пр. Королева, 15","83, 18п, 18л",,,"79, 78, 38, 23",47.2948,39.70924,"429848,17805713","2203742,92382697"
"пр. Королева, 4","94, 78, 18п, 18л",,,"94, 79, 78, 44, 23, 11",47.29158,39.69491,"429508,014349717","2202653,15425465"
"пр. Королева, 4","18п, 21, 45, 47, 83, 96, 18л",,,"21, 19, 96, 23, 44, 45, 47, 66, 78, 79, 11",47.29157,39.69547,"429506,202563562","2202695,4941393"
пр. Космонавтов,,,,30,47.29045,39.71626,"429355,913554793","2204266,02098927"
пр. Космонавтов,,,,30,47.29032,39.71597,"429341,817521183","2204243,84998622"
пр. Маршала Жукова,26,,,"73, 67, 59, 55, 48",47.23406,39.60106,"423234,936713181","2195441,02055066"
пр. Маршала Жукова,26,,,"73, 67, 59, 55, 48",47.23393,39.60134,"423220,108610256","2195461,96655983"
пр. Маршала Жукова/Еременко,"71, 67, 26",,,"73, 67, 59, 55, 48",47.23216,39.60173,"423022,809498725","2195488,01326895"
пр. Мира,"98, 67",,,52,47.24379,39.76618,"424108,3561189","2207961,0690955"
пр. Сельмаш,"54, 3а, 3",,5,"79, 66, 59, 40, 29, 24, 19",47.2439,39.76541,"424121,495136921","2207902,96484515"
пр. Сиверса,,,,"58, 20",47.22417,39.68727,"422023,378473479","2201950,71798394"
пр. Солженицына,26,,,,47.23551,39.59055,"423410,291726061","2194648,06534918"
пр. Солженицына,26,,,,47.23573,39.59052,"423434,790323325","2194646,23043328"
пр. Стачки,,,,"56, 40, 16",47.21228,39.61381,"420796,56668717","2196363,97179766"
пр. Стачки,,,,"56, 25, 23",47.21145,39.61339,"420704,851871782","2196330,53596371"
"пр. Стачки, 217","64, 16",,,"25, 23, 16",47.21226,39.63077,"420771,937153889","2197648,69763287"
"пр. Стачки, 217","64, 16",,,"25, 23, 16",47.21237,39.63003,"420785,137940772","2197592,85272016"
"пр. Стачки, 223","64, 16",,,"25, 23, 16",47.21217,39.62502,"420769,496733371","2197212,94570447"
"пр. Стачки, 223","64, 16",,,"25, 23, 16",47.21222,39.62419,"420776,150022645","2197150,16770448"
"пр. Стачки, 231","64, 16",,,"25, 23, 16",47.21195,39.61937,"420752,503577451","2196784,51508211"
"пр. Стачки, 231","64, 16",,,"25, 23, 16",47.21204,39.61815,"420764,125050092","2196692,27135198"
пр. Стачки/ул. Зорге,"71, 67, 64, 26, 16",,,"71, 67, 59, 52, 40, 16",47.21234,39.63601,"420773,96479678","2198045,79517227"
пр. Чехова,,"10, 6, 4, 1",,,47.22846,39.72229,"422456,851814595","2204610,69621717"
пр. Чехова,,"10, 6, 4, 1",,,47.2283,39.7218,"422439,66396617","2204573,3010129"
пр. Чехова,"98, 80, 70, 67, 7, 3а, 3",,"2, 1, 22, 9",,47.22362,39.72452,"421916,04644913","2204770,89267429"
пр. Чехова,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1",,47.22351,39.72352,"421905,039724087","2204694,95853671"
пр. Чехова,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.22982,39.72113,"422609,46790675","2204525,2956374"
пр. Чехова,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.22978,39.72162,"422604,420790575","2204562,33037204"
пр. Шолохова,"98, 67, 54, 7, 3а, 3",,"9, 1","66, 24, 19, 95, 79",47.23995,39.75808,"423691,050129106","2207341,12852687"
пр. Шолохова,"98, 67, 54, 7, 3а, 3",,"9, 1","95, 79, 66, 24, 19",47.24041,39.75793,"423742,368364178","2207330,57484119"
"Правление с/т ""Мичуринец""","69, 42а, 35а, 35, 3а",,,,47.29859,39.79457,"430167,558939348","2210203,30870373"
"Правление с/т ""Мичуринец""","69a, 42а, 35а, 35, 3а",,,,47.29849,39.79483,"430156,14155678","2210222,80295332"
Пригородный автовокзал,"3а, 7, 54, 67, 98, 3",,"9, 1, 5","59, 19, 24, 29, 52, 66, 67, 79, 88, 93, 95, 40",47.24182,39.76184,"423894,480193367","2207629,06665746"
Пригородный автовокзал,"3, 54, 67, 98, 3а, 7",,"1, 5, 9","67, 19, 24, 29, 40, 52, 66, 79, 88, 93, 95, 59",47.24322,39.76507,"424046,299013725","2207876,0434749"
Пригородный ЖДВ,"3а, 7, 33, 70, 75, 80, 3",,"22, 1, 2, 9","55, 20, 38, 52, 67, 78, 90, 98, 99, 40",47.21808,39.69486,"421336,814623559","2202514,37351108"
Пригородный ЖДВ,"3а, 7, 31, 33, 39, 70, 80, 3",,"22, 1, 2, 9","55, 20, 38, 52, 58, 59, 67, 78, 90, 98, 99, 40",47.21788,39.69462,"421314,880215892","2202495,82763464"
Пригородный ЖДВ,,"4, 1",,,47.21779,39.6946,"421304,899668153","2202494,14750025"
Пригородный ЖДВ,"98, 67, 39",,,"98, 67, 59, 55, 52, 40",47.21714,39.69605,"421230,82446873","2202602,78561992"
Промежуточная,"27, 18п, 18л",,,,47.28423,39.67244,"428719,224537692","2200939,78771457"
Путепровод,6,,,"56, 6",47.2474,39.65517,"424646,812403637","2199563,56686251"
Путепровод,6,,,"56, 6",47.24725,39.65526,"424630,020386782","2199570,09615933"
Пчелка,89,,,,47.29481,39.74166,"429809,714771455","2206195,03524526"
Рабочая площадь,15,,,,47.2144,39.66307,"420967,947204226","2200099,53477559"
Рабочая площадь,15,,,,47.21418,39.66322,"420943,296976081","2200110,48350149"
Рабочая площадь,,,,48,47.21663,39.6651,"421213,263085132","2200257,49446197"
Рабочий городок,61,,,,47.24374,39.70149,"424181,248881405","2203063,42910622"
Рабочий городок,51,,,,47.24406,39.70161,"424216,675099486","2203073,09862886"
Радуга,,,,55,47.22842,39.64098,"422555,135915007","2198453,03775232"
Радуга,,,,55,47.22918,39.64083,"422639,822819825","2198443,13213243"
Расковой,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23582,39.8036,"423178,775690024","2210780,665655"
Расковой,"80, 70, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23555,39.8043,"423147,957519699","2210833,21564344"
РГУПС,"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а",,,"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6",47.24862,39.69699,"424729,383866054","2202731,69036906"
РГУПС,"17, 6",,,"56, 6",47.25003,39.69592,"424887,474978985","2202653,27770609"
РГУПС,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",,,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.2517,39.69818,"425070,313434057","2202827,41664868"
РГУПС,"94, 49, 1",,,56,47.24981,39.69871,"424859,534441866","2202864,07506176"
РЗНО,"96, 89, 54, 28, 18л",,,"96, 79, 30, 29",47.26739,39.76202,"426736,982232411","2207687,21119059"
РЗНО,"94, 89, 54, 18п",,,"94, 79, 30, 29",47.26732,39.76254,"426728,583823163","2207726,44003229"
"р-к ""Верхний Темерник""","89, 83, 78, 69a, 69, 33",,,"83, 78, 56, 25, 23",47.30112,39.74579,"430506,258305747","2206518,54817171"
"р-к ""Верхний Темерник""","69a, 69, 54",,,"83, 78, 56, 25, 23",47.30082,39.74539,"430473,386359924","2206487,76787063"
"р-к ""Нижний Темерник""","92a, 83, 78, 33, 18п",,,"95, 83, 79, 78, 56, 44, 29, 25, 23",47.29245,39.7325,"429558,421199981","2205498,00587567"
"р-к ""Нижний Темерник""","92a, 83, 78, 33, 18л",,,"95, 83, 79, 78, 56, 44, 29, 25, 23",47.29207,39.73245,"429516,235600976","2205493,54594404"
р-к Алмаз,,,,"95, 93",47.27086,39.82288,"427052,417382497","2212298,50002116"
РКБ з/д ЖБК,,,,19,47.25395,39.75378,"425252,604276875","2207040,09546612"
РКБ з/д ЖБК,,,,19,47.25416,39.75369,"425276,058182509","2207033,65114211"
РМПАТП-6,77,,,"95, 77",47.29657,39.70217,"430053,722591013","2203211,41786661"
РМПАТП-6,77,,,"95, 77",47.29734,39.70184,"430139,737246704","2203187,86667225"
Ровенская,,7,,,47.22042,39.64476,"421660,834617604","2198724,03832101"
Ровенская,,7,,,47.2203,39.6448,"421647,441908177","2198726,83912225"
Роддом,15,,,48,47.21848,39.65941,"421426,229108868","2199829,98610784"
Роддом,15,,,48,47.21928,39.65865,"421516,144310988","2199773,930554"
Роставто,31,,,73,47.19327,39.68727,"418588,140280204","2201893,67196272"
Роставто,31,,,73,47.19179,39.6849,"418426,589468809","2201711,33715957"
Ростовское море,"90а, 36, 35а",,,"92, 90",47.31285,39.7854,"431763,532107432","2209534,15325269"
Ростовское море,"92a, 90а, 69a, 69, 42а, 36, 35а",,,"92, 90",47.31295,39.78475,"431775,405412461","2209485,17803292"
Ростовтехоптторг,,,,"48, 40, 16",47.23783,39.59945,"423656,220058269","2195326,54383595"
Ростовтехоптторг,,,,"48, 40, 16",47.23739,39.60113,"423605,048745193","2195452,88026559"
Ростов-Товарная,"96, 94",,,"96, 94, 71, 10",47.25183,39.61427,"425192,84490912","2196475,97558615"
Ростов-Товарная,"96, 94",,,"96, 94, 71, 10",47.25127,39.614,"425130,946664871","2196454,44454403"
Ростов-Товарная,,"10, 4",,,47.24387,39.75197,"424134,134761652","2206885,39843361"
Ростов-Товарная,,"10, 4",,,47.24404,39.75218,"424152,783322493","2206901,59538973"
Роща,"80, 70, 68, 54",,22,"80, 66, 55, 53, 14",47.23513,39.79799,"423108,504841188","2210354,71387738"
Роща,"80, 70, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23489,39.79905,"423080,60420616","2210434,57252359"
Роща,,,,"88, 67, 63, 14",47.23559,39.79865,"423158,885592097","2210405,46595847"
Рощинская,"92a, 90а, 69a, 69, 42а, 36, 35а, 28",,,"92, 90",47.29868,39.78359,"430190,289765113","2209373,04586541"
Рощинская,"36, 28",,,"92, 90",47.29819,39.78386,"430135,499827397","2209392,62749696"
Рощинская,"69, 42а, 35а, 35, 3а",,,,47.29855,39.78532,"430173,824327218","2209503,66327494"
Рощинская,"69a, 42а, 35а, 35, 3а",,,,47.29846,39.78564,"430163,446623039","2209527,7111085"
Рынок,"80, 54",,,"88, 80, 67, 63, 55",47.24291,39.834,"423932,63718571","2213094,15191375"
Рынок,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 10",47.2621,39.65647,"426279,387918537","2199689,78455427"
Рынок,"99, 96, 94, 49, 10",,,"99, 96, 94, 49, 14, 10",47.26206,39.65569,"426275,945721093","2199630,67712468"
"Рынок ""Геркулес""","89, 83, 78, 54, 33",,,"83, 78, 56, 25, 23",47.29298,39.73483,"429614,518002085","2205675,18762636"
"Рынок ""Геркулес""","89, 83, 78, 54, 33",,,"56, 25, 23, 83, 78",47.29369,39.73466,"429693,657871666","2205663,59377251"
"Рынок ""Донской""","96, 89, 54, 28, 18л",,,"96, 79, 30, 29",47.26615,39.76667,"426593,625220822","2208036,94611823"
"Рынок ""Донской""","94, 89, 54, 18п",,,"94, 79, 30, 29",47.26639,39.76617,"426620,897515753","2207999,52452643"
"Рынок ""Классика""",,,,"95, 93",47.27437,39.81781,"427448,361805809","2211920,68867958"
"Рынок ""Классика""",,,,"95, 93",47.27441,39.81559,"427455,322278707","2211752,77997434"
"Рынок ""Лидер""",,,,"88, 67, 63, 14",47.24126,39.79911,"423788,711464738","2210449,86604726"
"Рынок ""Лидер""",,,,"88, 67, 63, 14",47.24181,39.79902,"423849,960462125","2210443,98031831"
"Рынок ""Лимузин-Агро""",,,,71,47.25422,39.60762,"425467,4067958","2195977,28257523"
"Рынок ""Лимузин-Агро""",,,,71,47.2541,39.60886,"425452,411089485","2196070,90654232"
"Рынок ""Меркурий""","36, 28, 3а",,,"92, 90",47.29239,39.78376,"429490,803084673","2209375,14000012"
"Рынок ""Меркурий""",,,,44,47.29249,39.78085,"429505,312235983","2209155,20266571"
"С/о ""Виноградарь""","35а, 92a, 90а, 69, 42а, 36",,,"92, 90",47.3046,39.78378,"430848,223383459","2209397,54618654"
"С/о ""Виноградарь""","92a, 90а, 69a, 69, 42а, 36, 35а",,,"92, 90",47.30457,39.78363,"430845,062757528","2209386,15163498"
