Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
АРМ,"96, 89, 54, 28, 18л",,,"96, 79, 30, 29",47.26425,39.77017,"426378,267665261","2208298,52638528"
АРМ,"94, 89, 54, 18п",,,"94, 79, 30, 29",47.26444,39.77025,"426399,296548208","2208304,90930322"
АТП-1500,68,,,53,47.23581,39.78323,"423201,189767893","2209238,24316975"
АТП-3,"94, 78, 27",,,"94, 78, 44, 23, 11",47.26823,39.68375,"426926,114328146","2201765,74004809"
АТП-3,"96, 83, 27",,,"96, 78, 44, 23, 11",47.26976,39.68455,"427095,20164094","2201829,11178094"
Аэровокзал,7,,,,47.25559,39.80271,"425377,701484357","2210746,54269794"
Аэропорт,7,,9,"95, 93",47.25858,39.80358,"425709,115319997","2210817,42268875"
Аэропорт,7,,9,"95, 93",47.25925,39.80373,"425783,430206219","2210829,90243584"
"База отдыха ""Автомобилист""",39,,,,47.21069,39.80521,"420383,145803369","2210860,39225224"
"База отдыха ""Алан""",39,,,,47.20307,39.80013,"419541,828688939","2210462,71319918"
"База отдыха ""Башмачок""",39,,,,47.20199,39.79272,"419430,298958358","2209899,45479162"
"База отдыха ""Голубая волна""",39,,,,47.212,39.74384,"420600,790188829","2206213,60713104"
"База отдыха ""Голубая волна""",39,,,,47.21215,39.74342,"420617,97153517","2206182,05568726"
"База отдыха ""Ёлочка""",39,,,,47.20207,39.7927,"419439,215910154","2209898,07510083"
"База отдыха ""Кооператор""",39,,,,47.20631,39.8016,"419900,342101255","2210579,54290515"
"База отдыха ""Орхидея""",39,,,,47.20318,39.77314,"419585,409472637","2208417,97565545"
"База отдыха ""Орхидея""",39,,,,47.20329,39.77322,"419597,544521765","2208424,22652039"
"База отдыха ""Охотничий клуб""",39,,,,47.20538,39.76452,"419840,151934594","2207768,69266779"
"База отдыха ""Сосна""",39,,,,47.20321,39.80007,"419557,461822836","2210458,40317499"
"База отдыха ""УНР-106""",39,,,,47.20771,39.80171,"420055,858254812","2210590,23298837"
"База отдыха ""Эмбарго""",39,,,,47.2033,39.7951,"419573,187748384","2210081,99883107"
"База отдыха ""Эмбарго""",39,,,,47.20323,39.7951,"419565,405638415","2210081,88036344"
"База отдыха ""Эмпилс""",39,,,,47.20819,39.75723,"420161,198267151","2207221,28963457"
"База отдыха ""Эмпилс""",39,,,,47.2083,39.75725,"420173,40349192","2207222,99691884"
Баня,,,,48,47.21783,39.67365,"421335,765945676","2200907,36626054"
Баня,"99, 96, 94, 49, 1",,,"99, 96, 94, 49, 43, 14",47.26612,39.68205,"426693,683111261","2201633,18113114"
"Бассейн ""Коралл""",,"10, 4",,,47.24761,39.75888,"424541,689167236","2207415,0670787"
"Бассейн ""Коралл""",,"10, 4",,,47.2479,39.75923,"424573,513661928","2207442,06896037"
Башня,39,,,,47.21104,39.73011,"420510,674489068","2205171,80083549"
Березка,69a,,,95,47.27493,39.79283,"427539,177819629","2210031,53936892"
