field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descript_1,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop,beer_apt,coffee_apt,food_apt,pop_densit
5444,58,"351,516015110037",пл. Ленина,"99, 96, 58, 35а, 35, 17, 1",NA,NA,"96, 58, 56, 49, 14",47.24969,39.71180,424829.95613,2203854.76175,7,0,0,5,12,16,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,5.00000,40.00000,264.00000
3904,58,"926,179239474321",пер. Ашхабадский,"99, 96, 58, 35а, 35, 17, 1",NA,NA,"96, 58, 56, 49, 14",47.24978,39.70715,424845.71079,2203502.92276,7,0,0,5,12,12,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,9.00000,6.00000,40.00000,240.00000
2147,58,"332,798915487661",Дом №111,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",NA,NA,"96, 66, 63, 58, 14",47.24949,39.71956,424798.17403,2204441.82976,10,0,0,5,15,4,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,19.00000,5.00000,50.00000,264.00000
3887,58,"332,711858680992",пер. Автосборочный,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",NA,NA,"94, 66, 63, 58, 14",47.24911,39.72449,424749.89288,2204814.34803,10,0,0,5,15,10,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,11.00000,2.20000,50.00000,120.00000
1337,58,"407,416598499528",Больница,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",NA,NA,"96, 66, 63, 58, 14",47.24925,39.72901,424759.94465,2205156.76402,10,0,0,5,15,2,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,10.00000,0.60000,26.00000,21.60000
11917,58,"240,389717021659",Школа,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",NA,NA,"96, 66, 63, 58, 14",47.24911,39.73506,424737.03286,2205614.50104,10,0,0,5,15,35,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,4.00000,4.00000,40.00000,96.00000
3277,58,"258,023337374567",Магазин,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",NA,NA,"94, 66, 63, 58, 14",47.24893,39.73896,424712.30405,2205909.41332,10,0,0,5,15,7,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,0.60000,0.60000,40.00000,96.00000
8217,58,"287,092033984278",Торговое училище,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",NA,NA,"94, 66, 63, 58, 14",47.24893,39.74301,424707.42067,2206216.00100,10,0,0,5,15,24,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,7.00000,,50.00000,96.00000
5777,58,"192,958012390828",Поликлиника,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",NA,NA,"94, 66, 63, 58, 14",47.24896,39.74933,424703.16721,2206694.48201,10,0,0,5,15,20,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,7.00000,,50.00000,96.00000
5577,58,"752,965721692778",пл. Страны Советов,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",NA,NA,"96, 66, 63, 58, 14",47.24947,39.75579,424752.14910,2207184.40051,10,0,0,5,15,18,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,14.00000,,40.00000,72.00000
1003,60,"348,971617048419",ул. Мечникова,60,NA,NA,NA,47.24123,39.67381,423937.01302,2200963.14884,1,0,0,0,1,18,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,5.00000,,28.00000,96.00000
1104,60,"171,074107031838",ул. Турксибская,60,NA,NA,NA,47.23806,39.67541,423582.56134,2201078.37839,1,0,0,0,1,24,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,3.00000,,13.00000,96.00000
839,60,"248,507017841359",ул. 12-го февраля,60,NA,NA,NA,47.23624,39.67601,423379.46453,2201120.41723,1,0,0,0,1,10,Новое поселение,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,3.00000,,13.00000,96.00000
